id,item.acabamento
325734,5
21979,2
621588,5
160924,4
247007,5
169706,2
18200,5
587270,5
654287,4
326470,4
330093,4
177362,5
47249,5
100799,3
254960,1
228882,2
282753,4
162024,1
213706,1
256526,1
394707,5
279970,2
199780,4
483417,4
632498,1
145005,4
539786,1
29470,2
144140,4
275814,4
681777,4
600259,4
83234,5
246493,5
636242,4
325508,5
269075,3
198333,5
679533,5
177537,5
213698,1
229636,2
603020,2
659231,2
489051,2
404436,1
609771,1
488430,5
208711,5
493467,2
418178,4
46716,5
88191,5
685499,2
290185,2
116703,2
600798,4
51951,3
255441,4
406255,2
23519,2
317952,4
505591,2
547723,2
541462,5
10990,4
306394,2
309807,4
208847,1
367012,4
510823,5
212860,1
669472,5
394934,5
88188,5
211882,1
18197,5
660202,1
358730,2
461423,2
539316,1
547944,1
246491,5
618831,5
134005,4
84004,2
88192,5
275989,2
651452,1
434936,4
187500,3
650193,4
75387,2
330125,4
106743,2
447903,2
325506,5
187499,5
491133,2
330086,4
149007,4
247808,5
344500,4
607448,1
103590,4
401326,2
330090,4
285828,4
559184,4
39382,2
666177,4
88229,5
400779,2
143695,2
80212,5
551483,4
430582,5
420941,3
18911,4
299596,4
325439,5
286802,4
247811,5
217904,1
434923,4
162423,5
27651,2
628177,1
32903,5
255246,1
604291,1
627861,1
98499,3
387393,4
657401,3
184433,4
501368,5
476313,2
88768,2
21120,3
394569,5
548907,2
303413,5
576315,1
473622,5
7454,4
163140,2
404526,1
478804,2
600311,5
533353,3
536082,3
568416,2
353895,2
351844,2
438209,4
404997,2
573640,1
550531,2
370938,4
656907,1
88184,5
311508,4
35260,2
509617,4
414935,2
51839,3
589992,2
247223,5
550641,5
664379,5
81186,5
212894,1
389426,1
245233,4
43918,5
476083,4
650323,1
528154,5
36247,3
499567,4
53414,4
177791,5
617908,5
246492,5
294305,1
627596,1
270268,4
373415,2
648575,1
589934,4
485086,2
159087,5
561922,2
637684,2
239797,4
627896,1
234853,1
558504,5
